id,data_provider,country,partner_product_category,product_category,product_category_id,brand,year_of_manufacture,product_age,repair_status,repair_barrier_if_end_of_life,group_identifier,event_date,problem
rctoronto_202,Repair Café Toronto,CAN,Power tool,Power tool,24,Unknown,"","",End of life,"",Repair Café Toronto,2020-02-22,""
rctoronto_203,Repair Café Toronto,CAN,Laptop,Laptop,16,Unknown,"","",Unknown,"",Repair Café Toronto,2020-02-22,""
rctoronto_204,Repair Café Toronto,CAN,Laptop2,Laptop,16,Unknown,"","",Unknown,"",Repair Café Toronto,2020-02-22,""
rctoronto_205,Repair Café Toronto,CAN,Kettle,Kettle,14,Unknown,"","",Unknown,"",Repair Café Toronto,2020-02-22,""
rctoronto_207,Repair Café Toronto,CAN,Heater,Small home electrical,28,Unknown,"","",Unknown,"",Repair Café Toronto,2020-02-22,""
rctoronto_208,Repair Café Toronto,CAN,Lamp,Lamp,15,Unknown,"","",Unknown,"",Repair Café Toronto,2020-02-22,""
rctoronto_209,Repair Café Toronto,CAN,Bread machine,Small kitchen item,29,Unknown,"","",Unknown,"",Repair Café Toronto,2020-02-22,""
rctoronto_210,Repair Café Toronto,CAN,Laptop,Laptop,16,Unknown,"","",Unknown,"",Repair Café Toronto,2020-02-22,""
rctoronto_217,Repair Café Toronto,CAN,Laptop,Laptop,16,Unknown,"","",Repairable,"",Repair Café Toronto,2016-03-19,""
rctoronto_211,Repair Café Toronto,CAN,Tablet 1,Tablet,30,Unknown,"","",Fixed,"",Repair Café Toronto,2020-02-22,""
rctoronto_212,Repair Café Toronto,CAN,Tablet 2,Tablet,30,Unknown,"","",Fixed,"",Repair Café Toronto,2020-02-22,""
rctoronto_213,Repair Café Toronto,CAN,Power converter,Battery/charger/adapter,2,Unknown,"","",End of life,"",Repair Café Toronto,2020-02-22,""
